1,4,25
2,6,20
3,23,18
4,3,14
5,15,22
6,16,1
7,6,3
8,29,22
9,24,14
10,4,8
11,9,17
12,8,2
13,5,18
14,15,25
15,25,11
16,22,30
17,2,15
18,18,19
19,14,10
20,3,27
21,12,21
22,20,14
23,2,25
24,8,3
25,23,25
26,14,8
27,10,3
28,10,6
29,18,13
30,7,24
31,7,16
32,22,23
33,14,1
34,23,8
35,22,28
36,14,7
37,18,19
38,20,22
39,9,19
40,30,8
41,12,3
42,2,30
43,13,10
44,16,19
45,18,28
46,7,3
47,31,26
48,18,12
49,15,23
50,2,22
51,12,3
52,25,29
53,29,25
54,26,14
55,19,10
56,17,28
57,31,9
58,13,3
59,8,23
60,1,19
61,10,23
62,19,9
63,24,18
64,16,20
65,19,31
66,23,21
67,30,21
68,17,16
69,15,27
70,19,5
71,15,2
72,3,12
73,6,11
74,19,30
75,9,31
76,26,18
77,5,8
78,28,20
79,19,10
80,20,19
81,7,28
82,31,4
83,9,2
84,27,2
85,17,1
86,8,24
87,31,12
88,6,19
89,15,25
90,16,20
91,17,13
92,29,30
93,22,31
94,1,22
95,12,31
96,1,5
97,1,11
98,11,25
99,1,29
100,13,5
